prefix,thld_delta,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
uf100,0.1,1,883,53,200,0.265,13207.425444266626
uf100,0.1,2,883,5,200,0.025,160612.84913570437
uf100,0.1,3,883,49,200,0.245,14469.118334797182
uf100,0.1,4,883,100,200,0.5,5866.525015571082
uf100,0.1,5,883,9,200,0.045,88314.88805205573
uf100,0.1,6,883,199,200,0.995,767.4823897679814
uf100,0.1,7,883,114,200,0.57,4818.139193974501
uf100,0.1,8,883,4,200,0.02,201278.23515520603
uf100,0.1,9,883,22,200,0.11,34894.294247570484
uf100,0.1,10,883,31,200,0.155,24144.38801756065
uf100,0.1,11,883,49,200,0.245,14469.118334797182
uf100,0.1,12,883,61,200,0.305,11176.140341560542
uf100,0.1,13,883,94,200,0.47,6404.952651199127
uf100,0.1,14,883,17,200,0.085,45776.31110228365
uf100,0.1,15,883,68,200,0.34,9786.315607086397
uf100,0.1,16,883,8,200,0.04,99612.11650767883
uf100,0.1,17,883,94,200,0.47,6404.952651199127
uf100,0.1,18,883,119,200,0.595,4498.847531975326
uf100,0.1,19,883,182,200,0.91,1688.728042534194
uf100,0.1,20,883,119,200,0.595,4498.847531975326
uf100,0.2,1,527,37,200,0.185,11863.70588467344
uf100,0.2,2,527,4,200,0.02,120128.68621380924
uf100,0.2,3,527,54,200,0.27,7711.604156546648
uf100,0.2,4,527,62,200,0.31,6540.453323049703
uf100,0.2,5,527,12,200,0.06,39222.769342614905
uf100,0.2,6,527,196,200,0.98,620.375873211439
uf100,0.2,7,527,108,200,0.54,3125.3505611576047
uf100,0.2,8,527,5,200,0.025,95858.40486355174
uf100,0.2,9,527,13,200,0.065,36110.249023904194
uf100,0.2,10,527,25,200,0.125,18174.937296130818
uf100,0.2,11,527,39,200,0.195,11188.470356879141
uf100,0.2,12,527,52,200,0.26,8060.058584785639
uf100,0.2,13,527,55,200,0.275,7546.791894645084
uf100,0.2,14,527,11,200,0.055,42901.000686085856
uf100,0.2,15,527,55,200,0.275,7546.791894645084
uf100,0.2,16,527,8,200,0.04,59451.39909348442
uf100,0.2,17,527,67,200,0.335,5948.807921842998
uf100,0.2,18,527,84,200,0.42,4455.303126832146
uf100,0.2,19,527,158,200,0.79,1555.0752504620564
uf100,0.2,20,527,94,200,0.47,3822.6614350871346
uf100,0.3,1,404,23,200,0.115,15228.982461361098
uf100,0.3,2,404,5,200,0.025,73485.38057851026
uf100,0.3,3,404,37,200,0.185,9094.757452387228
uf100,0.3,4,404,41,200,0.205,8109.773301765559
uf100,0.3,5,404,11,200,0.055,32888.053656885546
uf100,0.3,6,404,193,200,0.965,554.9709908245142
uf100,0.3,7,404,83,200,0.415,3470.132514848653
uf100,0.3,8,404,2,200,0.01,185117.07292756892
uf100,0.3,9,404,5,200,0.025,73485.38057851026
uf100,0.3,10,404,18,200,0.09,19727.233072332157
uf100,0.3,11,404,32,200,0.16,10670.792151541598
uf100,0.3,12,404,37,200,0.185,9094.757452387228
