prefix,thld_delta,tau_star_val,median_TTS_val
uf100,0.08,976,11894.38081
uf100,0.09,912,10283.42202
uf100,0.1,883,12191.78289
uf100,0.2,527,7885.831371
uf100,0.3,404,9094.757452
uf100,0.4,312,7590.036353
uf100,0.5,296,8608.716343
uf100,0.6,286,8592.921256
uf100,0.7,229,8539.637875
uf100,0.8,225,8325.611334
uf175,0.03,4099,47661.50403
uf175,0.04,3494,46172.05125
uf175,0.05,2656,42831.62613
uf175,0.06,2502,39141.53715
uf175,0.07,2343,39939.13606
uf175,0.08,1469,44915.60503
uf175,0.09,1316,49074.94954
uf175,0.1,1356,41460.55849
uf175,0.2,667,36549.03281
uf175,0.3,543,40413.59346
uf175,0.4,465,47102.6723
uf20,0.7,99,358.149365
uf20,0.8,116,337.1052825
uf20,0.9,107,337.8888727
uf20,1,93,329.4229678
uf20,2,80,310.3539214
uf20,3,56,334.6924918
uf20,4,41,405.7343054
uf20,5,36,350.6918366
uf20,6,29,397.0355253
uf20,7,25,469.4844673
uf20,8,23,640.3176513
uf20,9,21,564.4426163
uf20,10,18,679.8840808
uf250,0.02,4581,74419.21982
uf250,0.03,3465,78719.35161
uf250,0.04,2645,64022.09839
uf250,0.05,2533,61519.07463
uf250,0.06,2116,65756.09452
uf250,0.07,1781,59460.72581
uf250,0.08,1631,47646.762
uf250,0.09,1383,64258.01658
uf250,0.1,1446,50132.94634
uf250,0.2,891,47742.63275
uf50,0.5,151,1893.807911
uf50,0.6,134,1820.627048
uf50,0.7,132,1670.725396
uf50,0.8,115,1505.969009
uf50,0.9,141,1624.603661
uf50,1,121,1632.126578
uf50,2,72,1939.484915
uf50,3,59,2048.764722
uf50,4,49,1850.795553
uf50,5,39,3701.060917
uf75,0.1,721,8027.42628
uf75,0.2,447,8094.098835
uf75,0.3,352,7716.41862
uf75,0.4,293,5362.17531
uf75,0.5,249,6583.804118
uf75,0.6,227,6719.510204
uf75,0.7,273,7240.697789
uf75,0.8,185,6014.458801
uf75,0.9,176,6533.324145
uf75,1,148,6023.910193
