prefix,thld_delta,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
uf100,0.1,1,1280,24,200,0.12,46111.72942120944
uf100,0.1,2,1280,4,200,0.02,291773.6591151344
uf100,0.1,3,1280,23,198,0.11616161616161616,47737.021306802744
uf100,0.1,4,1280,20,197,0.10152284263959391,55062.09996146055
uf100,0.1,5,1280,17,200,0.085,66357.50646763656
uf100,0.1,6,1280,175,200,0.875,2834.7119743038825
uf100,0.1,7,1280,70,200,0.35,13683.499548992464
uf100,0.1,8,1280,0,200,0.0,inf
uf100,0.1,9,1280,7,200,0.035,165452.84325091398
uf100,0.1,10,1280,13,200,0.065,87706.10768614302
uf100,0.1,11,1280,18,200,0.09,62502.124585606834
uf100,0.1,12,1280,40,200,0.2,26416.258965801397
uf100,0.1,13,1280,24,200,0.12,46111.72942120944
uf100,0.1,14,1280,11,200,0.055,104199.77396240966
uf100,0.1,15,1280,25,200,0.125,44144.06022589648
uf100,0.1,16,1280,5,200,0.025,232824.96816953743
uf100,0.1,17,1280,37,200,0.185,28815.07311647439
uf100,0.1,18,1280,47,200,0.235,22004.74110524155
uf100,0.1,19,1280,98,200,0.49,8754.237053664396
uf100,0.1,20,1280,44,200,0.22,23724.485186378646
uf100,0.2,1,844,21,200,0.105,35037.491694812314
uf100,0.2,2,844,0,200,0.0,inf
uf100,0.2,3,844,20,200,0.1,36890.13491160943
uf100,0.2,4,844,7,200,0.035,109095.46851857142
uf100,0.2,5,844,3,200,0.015,257169.29873692384
uf100,0.2,6,844,166,200,0.83,2193.486627324629
uf100,0.2,7,844,46,200,0.23,14871.031486766022
uf100,0.2,8,844,0,200,0.0,inf
uf100,0.2,9,844,5,200,0.025,153518.96338678876
uf100,0.2,10,844,8,200,0.04,95212.48735275304
uf100,0.2,11,844,4,200,0.02,192388.25647904177
uf100,0.2,12,844,25,200,0.125,29107.489711450497
uf100,0.2,13,844,23,200,0.115,31815.002963833584
uf100,0.2,14,844,5,200,0.025,153518.96338678876
uf100,0.2,15,844,11,200,0.055,68706.72595646388
uf100,0.2,16,844,1,200,0.005,775407.7220298747
uf100,0.2,17,844,25,200,0.125,29107.489711450497
uf100,0.2,18,844,21,200,0.105,35037.491694812314
uf100,0.2,19,844,80,200,0.4,7608.787531681214
uf100,0.2,20,844,22,200,0.11,33353.096653396926
uf100,0.3,1,607,13,200,0.065,41591.88075428813
uf100,0.3,2,607,1,200,0.005,557668.8237821491
uf100,0.3,3,607,12,200,0.06,45176.889925934054
uf100,0.3,4,607,7,200,0.035,78460.84051039437
uf100,0.3,5,607,1,200,0.005,557668.8237821491
uf100,0.3,6,607,131,200,0.655,2626.6771021024056
uf100,0.3,7,607,31,200,0.155,16597.557787836144
uf100,0.3,8,607,0,200,0.0,inf
uf100,0.3,9,607,4,200,0.02,138364.53990850513
uf100,0.3,10,607,5,200,0.025,110409.96537414783
uf100,0.3,11,607,6,200,0.03,91773.17907230888
uf100,0.3,12,607,12,200,0.06,45176.889925934054
uf100,0.3,13,607,12,200,0.06,45176.889925934054
uf100,0.3,14,607,3,200,0.015,184954.69707738477
uf100,0.3,15,607,1,200,0.005,557668.8237821491
uf100,0.3,16,607,0,200,0.0,inf
uf100,0.3,17,607,12,200,0.06,45176.889925934054
uf100,0.3,18,607,23,200,0.115,22881.16919318363
uf100,0.3,19,607,53,200,0.265,9079.170152513976
uf100,0.3,20,607,16,200,0.08,33524.63856793725
uf100,0.03,1,2738,45,200,0.225,49467.78879153183
uf100,0.03,2,2738,4,200,0.02,624122.0927009672
uf100,0.03,3,2738,51,200,0.255,42833.544654236255
uf100,0.03,4,2738,67,200,0.335,30906.709848208975
uf100,0.03,5,2738,9,200,0.045,273846.1647639055
uf100,0.03,6,2738,200,200,1.0,2738.0
uf100,0.03,7,2738,110,199,0.5527638190954773,15669.753040530499
uf100,0.03,8,2738,3,200,0.015,834276.7060920586
uf100,0.03,9,2738,11,200,0.055,222889.8289914669
uf100,0.03,10,2738,16,200,0.08,151219.86886163458
uf100,0.03,11,2738,34,200,0.17,67670.17932213099
uf100,0.03,12,2738,59,200,0.295,36071.195236310836
uf100,0.03,13,2738,60,200,0.3,35351.39258731133
uf100,0.03,14,2738,16,200,0.08,151219.86886163458
uf100,0.03,15,2738,66,199,0.3316582914572864,31291.17190467538
uf100,0.03,16,2738,1,199,0.005025125628140704,2502872.4664518614
