prefix,thld_delta,tau_star_val,median_TTS_val,,,,,,,,,,,
uf100,0.03,2738,39452.36995,,,,,,,,,,,
uf100,0.05,2090,37003.78524,,,,,,,,,,,
uf100,0.07,1830,41900.81322,,,,,,,,,,,
uf100,0.08,2191,47919.65668,,,,,,,,,,,
uf100,0.09,1919,49008.13779,,,,,,,,,,,
uf100,0.1,1280,46924.37536,,,,,,,,,,,
uf100,0.2,844,52798.43043,,,,,,,,,,,
uf100,0.3,607,61818.86522,,,,,,,,,,,
uf100,0.4,426,77487.05972,,,,,,,,,,,
uf100,0.5,381,101470.0406,,,,,,,,,,,
uf175,0.008,15520,327701.6077,,,,,,,,,,,
uf175,0.009,13336,314909.3819,,,,,,,,,,,
uf175,0.01,13283,313110.0537,,,,,,,,,,,
uf175,0.02,6254,371136.6252,,,,,,,,,,,
uf175,0.03,5963,340784.8993,,,,,,,,,,,
uf175,0.04,3826,313248.0564,,,,,,,,,,,
uf175,0.05,4055,315950.5574,,,,,,,,,,,
uf175,0.06,3448,395273.3662,,,,,,,,,,,
uf175,0.07,2561,426516.5016,,,,,,,,,,,
uf175,0.08,2439,379452.9617,,,,,,,,,,,
uf20,0.5,161,476.136372,,,,,,,,,,,
uf20,0.6,130,457.2659019,,,,,,20,50,75,100,175,250
uf20,0.7,126,459.4376272,,,,,,423.5560976,4275.69731,21775.52622,37003.78524,313110.0537,564706.9215
uf20,0.8,131,438.32575,,,,,,,,,,,
uf20,0.9,99,521.968166,,,,,,,,,,,
uf20,1,108,423.5560976,,,,,,,,,,,
uf20,2,79,451.8567436,,,,,,,,,,,
uf20,3,59,495.9622903,,,,,,,,,,,
uf20,4,44,527.8772973,,,,,,,,,,,
uf20,5,34,664.2382331,,,,,,,,,,,
uf250,0.004,26828,711241.147,,,,,,,,,,,
uf250,0.005,26558,713162.9931,,,,,,,,,,,
uf250,0.006,20292,710831.5894,,,,,,,,,,,
uf250,0.007,17713,586481.5618,,,,,,,,,,,
uf250,0.008,14699,606874.9294,,,,,,,,,,,
uf250,0.009,16877,591315.083,,,,,,,,,,,
uf250,0.01,12098,564706.9215,,,,,,,,,,,
uf250,0.02,10009,792220.0148,,,,,,,,,,,
uf250,0.03,5905,666148.9785,,,,,,,,,,,
uf50,0.2,341,5119.510563,,,,,,,,,,,
uf50,0.3,269,5069.762548,,,,,,,,,,,
uf50,0.4,285,4570.639871,,,,,,,,,,,
uf50,0.5,241,5647.950924,,,,,,,,,,,
uf50,0.6,229,5243.325807,,,,,,,,,,,
uf50,0.7,213,4275.69731,,,,,,,,,,,
uf50,0.8,199,4699.082708,,,,,,,,,,,
uf50,0.9,213,5445.136034,,,,,,,,,,,
uf50,1,190,4564.764143,,,,,,,,,,,
uf50,2,95,8617.589373,,,,,,,,,,,
uf75,0.1,1062,25420.36472,,,,,,,,,,,
uf75,0.2,845,23972.94724,,,,,,,,,,,
uf75,0.3,500,23134.61887,,,,,,,,,,,
uf75,0.4,472,21775.52622,,,,,,,,,,,
uf75,0.5,345,23785.02797,,,,,,,,,,,
uf75,0.6,314,29798.28533,,,,,,,,,,,
uf75,0.7,267,32316.48354,,,,,,,,,,,
uf75,0.8,234,38971.05091,,,,,,,,,,,
uf75,0.9,212,64597.02764,,,,,,,,,,,
uf75,1,183,83852.53551,,,,,,,,,,,
