prefix,thld_delta,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
uf100,0.0001,1,284626,0,200,0.0,inf
uf100,0.0001,2,284626,0,200,0.0,inf
uf100,0.0001,3,284626,0,200,0.0,inf
uf100,0.0001,4,284626,0,200,0.0,inf
uf100,0.0001,5,284626,0,200,0.0,inf
uf100,0.0001,6,284626,1,200,0.005,261494310.77070507
uf100,0.0001,7,284626,0,200,0.0,inf
uf100,0.0001,8,284626,0,200,0.0,inf
uf100,0.0001,9,284626,0,200,0.0,inf
uf100,0.0001,10,284626,0,200,0.0,inf
uf100,0.0001,11,284626,0,200,0.0,inf
uf100,0.0001,12,284626,0,200,0.0,inf
uf100,0.0001,13,284626,0,200,0.0,inf
uf100,0.0001,14,284626,0,200,0.0,inf
uf100,0.0001,15,284626,0,200,0.0,inf
uf100,0.0001,16,284626,0,200,0.0,inf
uf100,0.0001,17,284626,0,200,0.0,inf
uf100,0.0001,18,284626,0,200,0.0,inf
uf100,0.0001,19,284626,0,200,0.0,inf
uf100,0.0001,20,284626,0,200,0.0,inf
uf100,1e-05,1,16216562,3,200,0.015,4941234451.971382
uf100,1e-05,2,16216562,0,200,0.0,inf
uf100,1e-05,3,16216562,1,200,0.005,14898634359.687473
uf100,1e-05,4,16216562,66,200,0.33,186477431.12351266
uf100,1e-05,5,16216562,1,200,0.005,14898634359.687473
uf100,1e-05,6,16216562,200,200,1.0,16216562.0
uf100,1e-05,7,16216562,3,200,0.015,4941234451.971382
uf100,1e-05,8,16216562,0,200,0.0,inf
uf100,1e-05,9,16216562,0,200,0.0,inf
uf100,1e-05,10,16216562,0,200,0.0,inf
uf100,1e-05,11,16216562,0,200,0.0,inf
uf100,1e-05,12,16216562,3,200,0.015,4941234451.971382
uf100,1e-05,13,16216562,0,200,0.0,inf
uf100,1e-05,14,16216562,10,200,0.05,1455941341.520716
uf100,1e-05,15,16216562,0,200,0.0,inf
uf100,1e-05,16,16216562,0,200,0.0,inf
uf100,1e-05,17,16216562,0,200,0.0,inf
uf100,1e-05,18,16216562,1,200,0.005,14898634359.687473
uf100,1e-05,19,16216562,200,200,1.0,16216562.0
uf100,1e-05,20,16216562,100,200,0.5,107740505.82056558
uf100,0.0002,1,220992,0,200,0.0,inf
uf100,0.0002,2,220992,0,200,0.0,inf
uf100,0.0002,3,220992,0,200,0.0,inf
uf100,0.0002,4,220992,0,200,0.0,inf
uf100,0.0002,5,220992,0,200,0.0,inf
uf100,0.0002,6,220992,1,200,0.005,203031875.95595506
uf100,0.0002,7,220992,0,200,0.0,inf
uf100,0.0002,8,220992,0,200,0.0,inf
uf100,0.0002,9,220992,0,200,0.0,inf
uf100,0.0002,10,220992,0,200,0.0,inf
uf100,0.0002,11,220992,0,200,0.0,inf
uf100,0.0002,12,220992,0,200,0.0,inf
uf100,0.0002,13,220992,0,200,0.0,inf
uf100,0.0002,14,220992,0,200,0.0,inf
uf100,0.0002,15,220992,0,200,0.0,inf
uf100,0.0002,16,220992,0,200,0.0,inf
uf100,0.0002,17,220992,0,200,0.0,inf
uf100,0.0002,18,220992,0,200,0.0,inf
uf100,0.0002,19,220992,0,200,0.0,inf
uf100,0.0002,20,220992,0,200,0.0,inf
uf100,2e-05,1,1253670,0,200,0.0,inf
uf100,2e-05,2,1253670,0,200,0.0,inf
uf100,2e-05,3,1253670,0,200,0.0,inf
uf100,2e-05,4,1253670,0,200,0.0,inf
uf100,2e-05,5,1253670,0,200,0.0,inf
uf100,2e-05,6,1253670,1,200,0.005,1151783647.9587593
uf100,2e-05,7,1253670,0,200,0.0,inf
uf100,2e-05,8,1253670,0,200,0.0,inf
uf100,2e-05,9,1253670,0,200,0.0,inf
uf100,2e-05,10,1253670,0,200,0.0,inf
uf100,2e-05,11,1253670,0,200,0.0,inf
uf100,2e-05,12,1253670,0,200,0.0,inf
uf100,2e-05,13,1253670,0,200,0.0,inf
uf100,2e-05,14,1253670,0,200,0.0,inf
uf100,2e-05,15,1253670,0,200,0.0,inf
uf100,2e-05,16,1253670,0,200,0.0,inf
uf100,2e-05,17,1253670,0,200,0.0,inf
uf100,2e-05,18,1253670,0,200,0.0,inf
uf100,2e-05,19,1253670,0,200,0.0,inf
uf100,2e-05,20,1253670,0,200,0.0,inf
uf100,0.0003,1,107970,0,200,0.0,inf
uf100,0.0003,2,107970,0,200,0.0,inf
uf100,0.0003,3,107970,0,200,0.0,inf
uf100,0.0003,4,107970,0,200,0.0,inf
uf100,0.0003,5,107970,0,200,0.0,inf
uf100,0.0003,6,107970,1,200,0.005,99195227.18905872
uf100,0.0003,7,107970,0,200,0.0,inf
uf100,0.0003,8,107970,0,200,0.0,inf
uf100,0.0003,9,107970,0,200,0.0,inf
uf100,0.0003,10,107970,0,200,0.0,inf
uf100,0.0003,11,107970,0,200,0.0,inf
uf100,0.0003,12,107970,0,200,0.0,inf
uf100,0.0003,13,107970,0,200,0.0,inf
uf100,0.0003,14,107970,0,200,0.0,inf
uf100,0.0003,15,107970,0,200,0.0,inf
uf100,0.0003,16,107970,0,200,0.0,inf
uf100,0.0003,17,107970,0,200,0.0,inf
uf100,0.0003,18,107970,0,200,0.0,inf
uf100,0.0003,19,107970,0,200,0.0,inf
uf100,0.0003,20,107970,0,200,0.0,inf
uf100,3e-05,1,850029,0,200,0.0,inf
uf100,3e-05,2,850029,0,200,0.0,inf
uf100,3e-05,3,850029,0,200,0.0,inf
uf100,3e-05,4,850029,0,200,0.0,inf
uf100,3e-05,5,850029,0,200,0.0,inf
uf100,3e-05,6,850029,1,200,0.005,780946742.3570288
uf100,3e-05,7,850029,0,200,0.0,inf
uf100,3e-05,8,850029,0,200,0.0,inf
uf100,3e-05,9,850029,0,200,0.0,inf
uf100,3e-05,10,850029,0,200,0.0,inf
uf100,3e-05,11,850029,0,200,0.0,inf
uf100,3e-05,12,850029,0,200,0.0,inf
uf100,3e-05,13,850029,0,200,0.0,inf
uf100,3e-05,14,850029,0,200,0.0,inf
uf100,3e-05,15,850029,0,200,0.0,inf
uf100,3e-05,16,850029,0,200,0.0,inf
uf100,3e-05,17,850029,0,200,0.0,inf
uf100,3e-05,18,850029,0,200,0.0,inf
uf100,3e-05,19,850029,0,200,0.0,inf
uf100,3e-05,20,850029,0,200,0.0,inf
uf100,0.0004,1,83506,0,200,0.0,inf
uf100,0.0004,2,83506,0,200,0.0,inf
uf100,0.0004,3,83506,0,200,0.0,inf
uf100,0.0004,4,83506,0,200,0.0,inf
uf100,0.0004,5,83506,0,200,0.0,inf
uf100,0.0004,6,83506,0,200,0.0,inf
uf100,0.0004,7,83506,0,200,0.0,inf
uf100,0.0004,8,83506,0,200,0.0,inf
uf100,0.0004,9,83506,0,200,0.0,inf
uf100,0.0004,10,83506,0,200,0.0,inf
uf100,0.0004,11,83506,0,200,0.0,inf
uf100,0.0004,12,83506,0,200,0.0,inf
uf100,0.0004,13,83506,0,200,0.0,inf
uf100,0.0004,14,83506,0,200,0.0,inf
uf100,0.0004,15,83506,0,200,0.0,inf
uf100,0.0004,16,83506,0,200,0.0,inf
uf100,0.0004,17,83506,0,200,0.0,inf
uf100,0.0004,18,83506,0,200,0.0,inf
uf100,0.0004,19,83506,1,200,0.005,76719428.004534
uf100,0.0004,20,83506,0,200,0.0,inf
uf100,5e-05,1,563939,0,200,0.0,inf
uf100,5e-05,2,563939,0,200,0.0,inf
uf100,5e-05,3,563939,0,200,0.0,inf
uf100,5e-05,4,563939,0,200,0.0,inf
uf100,5e-05,5,563939,0,200,0.0,inf
uf100,5e-05,6,563939,1,200,0.005,518107411.5566415
uf100,5e-05,7,563939,0,200,0.0,inf
uf100,5e-05,8,563939,0,200,0.0,inf
uf100,5e-05,9,563939,0,200,0.0,inf
uf100,5e-05,10,563939,0,200,0.0,inf
uf100,5e-05,11,563939,0,200,0.0,inf
uf100,5e-05,12,563939,0,200,0.0,inf
uf100,5e-05,13,563939,0,200,0.0,inf
uf100,5e-05,14,563939,0,200,0.0,inf
uf100,5e-05,15,563939,0,200,0.0,inf
uf100,5e-05,16,563939,0,200,0.0,inf
uf100,5e-05,17,563939,0,200,0.0,inf
uf100,5e-05,18,563939,0,200,0.0,inf
uf100,5e-05,19,563939,0,200,0.0,inf
