prefix,thld_delta,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
uf100,0.1,1,748,25,200,0.125,25796.68519450826
uf100,0.1,2,748,1,200,0.005,687209.6872966187
uf100,0.1,3,748,25,200,0.125,25796.68519450826
uf100,0.1,4,748,41,200,0.205,15015.124826041185
uf100,0.1,5,748,7,200,0.035,96686.50527475287
uf100,0.1,6,748,191,200,0.955,1110.7914316857962
uf100,0.1,7,748,96,200,0.48,5267.667651960815
uf100,0.1,8,748,3,200,0.015,227917.8145204017
uf100,0.1,9,748,5,200,0.025,136057.09077407344
uf100,0.1,10,748,15,200,0.075,44184.18664101647
uf100,0.1,100,748,96,200,0.48,5267.667651960815
uf100,0.1,11,748,25,200,0.125,25796.68519450826
uf100,0.1,12,748,28,200,0.14,22839.154621562928
uf100,0.1,13,748,47,200,0.235,12859.02058337553
uf100,0.1,14,748,9,200,0.045,74812.61184930656
uf100,0.1,15,748,23,200,0.115,28196.234854203223
uf100,0.1,16,748,1,200,0.005,687209.6872966187
uf100,0.1,17,748,62,200,0.31,9283.224071425386
uf100,0.1,18,748,64,200,0.32,8931.818547312643
uf100,0.1,19,748,138,200,0.69,2941.1862651032134
uf100,0.1,20,748,57,200,0.285,10268.09909273984
uf100,0.1,21,748,2,200,0.01,342741.5112619346
uf100,0.1,22,748,4,200,0.02,170505.23204540668
uf100,0.1,23,748,14,200,0.07,47466.36919891135
uf100,0.1,24,748,37,200,0.185,16838.808352439723
uf100,0.1,25,748,32,200,0.16,19756.813191468107
uf100,0.1,26,748,17,200,0.085,38777.66784202511
uf100,0.1,27,748,79,200,0.395,6854.6934322793995
uf100,0.1,28,748,55,200,0.275,10711.575592399475
uf100,0.1,29,748,109,200,0.545,4374.414776916023
uf100,0.1,30,748,25,200,0.125,25796.68519450826
uf100,0.1,31,748,42,200,0.21,14613.241128512727
uf100,0.1,32,748,6,200,0.03,113091.16630327357
