prefix,thld_delta,tau_star_val,median_TTS_val
uf100,0.01,5961,33678.33809
uf100,0.02,2885,31687.20789
uf100,0.03,2652,32290.30282
uf100,0.04,1826,30310.73224
uf100,0.05,1362,29765.61834
uf100,0.06,1438,28093.36998
uf100,0.07,1356,28788.54991
uf100,0.08,1137,24848.39064
uf100,0.09,835,26553.8365
uf100,0.1,748,25796.68519
uf100,0.2,465,26574.70706
uf100,0.3,272,27204.58613
uf100,0.5,256,35897.78337
uf100,0.7,211,38379.74085
uf175,0.006,15092,154459.9454
uf175,0.007,11942,148208.9062
uf175,0.008,12215,156260.4695
uf175,0.009,8795,154965.3103
uf175,0.01,8233,156719.9823
uf175,0.02,5081,138932.7696
uf175,0.03,3084,131412.7965
uf175,0.04,2219,131075.8157
uf175,0.05,2433,130252.9043
uf175,0.06,1477,130905.8946
uf175,0.07,1641,133587.3665
uf175,0.08,1374,137423.1667
uf175,0.09,1648,122654.884
uf175,0.1,1416,120874.4256
uf175,0.2,908,206976.9394
uf175,0.3,488,223606.7614
uf20,0.1,293,736.2918873
uf20,0.2,213,628.5540097
uf20,0.3,133,609.2310471
uf20,0.4,111,585.2370346
uf20,0.5,88,576.3803067
uf20,0.6,83,563.5644996
uf20,0.7,79,565.9470138
uf20,0.8,60,554.6465184
uf20,0.9,58,578.0938784
uf20,1,77,542.2599053
uf20,2,41,551.2914459
uf20,5,34,646.8161132
uf20,10,19,1122.325596
uf20,20,10,4582.105766
uf250,0.002,48982,368970.8875
uf250,0.003,28397,355924.2772
uf250,0.004,22584,323409.3893
uf250,0.005,17771,313119.7874
uf250,0.006,15402,281871.0721
uf250,0.007,12617,280325.0065
uf250,0.008,11884,284489.8064
uf250,0.009,12372,278515.6911
uf250,0.01,10052,284835.5626
uf250,0.02,4902,262433.1019
uf250,0.03,4242,269187.6178
uf250,0.04,2428,313843.362
uf250,0.06,2609,305482.0771
uf250,0.08,2566,335198.5356
