prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
3R3X_n112,0.0001,20.0,1,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,2,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,3,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,4,136339,100,200,0.5,905816.7090576962
3R3X_n112,0.0001,20.0,5,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,6,136339,39,200,0.195,2894544.326350181
3R3X_n112,0.0001,20.0,7,136339,85,200,0.425,1134588.0855928678
3R3X_n112,0.0001,20.0,8,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,9,136339,54,200,0.27,1995051.9907009744
3R3X_n112,0.0001,20.0,10,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,11,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,12,136339,87,200,0.435,1099722.8999051894
3R3X_n112,0.0001,20.0,13,136339,83,200,0.415,1171075.239955323
3R3X_n112,0.0001,20.0,14,136339,29,200,0.145,4007973.363721962
3R3X_n112,0.0001,20.0,15,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,16,136339,63,200,0.315,1659539.5801491083
3R3X_n112,0.0001,20.0,17,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,18,136339,114,200,0.57,743941.4264635216
3R3X_n112,0.0001,20.0,19,136339,75,200,0.375,1335871.169750392
3R3X_n112,0.0001,20.0,20,136339,58,200,0.29,1833232.3034722784
3R3X_n112,0.0001,20.0,21,136339,0,198,0.0,inf
3R3X_n112,0.0001,20.0,22,136339,46,200,0.23,2402253.035395963
3R3X_n112,0.0001,20.0,23,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,24,136339,78,200,0.39,1270218.4302773348
3R3X_n112,0.0001,20.0,25,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,26,136339,57,200,0.285,1871580.698135103
3R3X_n112,0.0001,20.0,27,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,28,136339,88,200,0.44,1082863.5221674475
3R3X_n112,0.0001,20.0,29,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,30,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,31,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,32,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,33,136339,47,200,0.235,2343831.560584006
3R3X_n112,0.0001,20.0,34,136339,51,200,0.255,2132900.892846573
3R3X_n112,0.0001,20.0,35,136339,0,200,0.0,inf
3R3X_n112,0.0001,20.0,36,136339,96,200,0.48,960145.1069527884
