prefix,thld_delta,thld_max,tau_star_val,median_TTS_val
3R3X_n112,0.0001,20,136339,2894544.326
3R3X_n112,0.0002,20,70324,2919403.514
3R3X_n112,0.0003,20,44044,3147976.718
3R3X_n112,0.0004,20,27212,2721658.815
3R3X_n112,0.0005,20,20406,3085211.684
3R3X_n112,0.0006,20,27989,2799371.916
3R3X_n112,0.0007,20,19128,2891989.076
3R3X_n112,0.0008,20,15952,3636229.227
3R3X_n112,0.0009,20,15014,3422413.842
3R3X_n112,0.001,20,13747,4188751.599
3R3X_n128,5.00E-05,20,248206,6134457.461
3R3X_n128,6.00E-05,20,244784,6936250.333
3R3X_n128,7.00E-05,20,193288,6528874.475
3R3X_n128,8.00E-05,20,175194,5901535.97
3R3X_n128,9.00E-05,20,179211,7082040.053
3R3X_n128,0.0001,20,122301,5642306.423
3R3X_n128,0.0002,20,70731,6350309.457
3R3X_n128,0.0003,20,46404,5998182.608
3R3X_n128,0.0004,20,39696,6001693.767
3R3X_n144,8.00E-06,20,1951607,16240914.56
3R3X_n144,9.00E-06,20,1628748,15958731.51
3R3X_n144,1.00E-05,20,1421378,16044600.96
3R3X_n144,2.00E-05,20,735054,16547370.9
3R3X_n144,3.00E-05,20,537598,15803830.63
3R3X_n144,4.00E-05,20,386685,15280974.15
3R3X_n144,5.00E-05,20,271252,17213031.52
3R3X_n144,6.00E-05,20,245483,16820592.53
3R3X_n144,7.00E-05,20,205542,16732367.14
3R3X_n144,8.00E-05,20,172414,17244307.03
3R3X_n144,9.00E-05,20,142981,16129830.16
3R3X_n144,0.0001,20,129108,14564803.1
3R3X_n144,0.0002,20,68788,15680098.8
3R3X_n144,0.0003,20,51957,15831451.72
3R3X_n144,0.0004,20,40719,18657876.47
3R3X_n160,8.00E-06,20,1870198,38704461.98
3R3X_n160,9.00E-06,20,1512349,39945450.1
3R3X_n160,1.00E-05,20,1499396,39603324.43
3R3X_n160,2.00E-05,20,811702,36462985.07
3R3X_n160,3.00E-05,20,461166,37541713.25
3R3X_n160,4.00E-05,20,404645,40471322.62
3R3X_n160,5.00E-05,20,261502,39536853.17
3R3X_n160,6.00E-05,20,250136,45498364.25
3R3X_n160,7.00E-05,20,183018,41718618.39
3R3X_n160,8.00E-05,20,191017,43541975.81
3R3X_n160,9.00E-05,20,147211,44855627.53
3R3X_n160,0.0001,20,139317,42450302.36
3R3X_n160,0.0002,20,60396,55487588.6
3R3X_n160,0.0003,20,50218,46136759.46
3R3X_n160,0.0004,20,11989,inf
3R3X_n80,0.0009,20,13397,331109.3471
3R3X_n80,0.002,20,7476,326766.1713
3R3X_n80,0.004,20,3639,326713.5501
3R3X_n80,0.006,20,2587,334395.7074
3R3X_n80,0.01,20,1186,361377.7113
3R3X_n80,0.03,20,579,531944.397
3R3X_n80,0.05,20,85,inf
3R3X_n96,0.0005,20,23406,882300.8997
3R3X_n96,0.0006,20,21174,925487.8159
3R3X_n96,0.0007,20,16942,878303.8083
3R3X_n96,0.0008,20,17588,971386.0678
3R3X_n96,0.0009,20,12001,893192.514
3R3X_n96,0.001,20,10346,928875.6223
3R3X_n96,0.002,20,7588,980825.1364
3R3X_n96,0.003,20,4022,916807.5445
3R3X_n96,0.004,20,3010,917155.9114
