prefix,thld_delta,thld_max,tau_star_val,median_TTS_val
kRkX_n12,0.0004,28,53,12081.25307
kRkX_n12,0.0006,28,2700,12591.41323
kRkX_n12,0.0008,28,231,12758.14087
kRkX_n12,0.002,28,938,12876.30608
kRkX_n12,0.004,28,65,11823.14291
kRkX_n12,0.006,28,280,11344.41039
kRkX_n12,0.008,28,60,10913.67038
kRkX_n12,0.01,28,146,11885.28672
kRkX_n12,0.03,28,72,9306.722433
kRkX_n12,0.09,28,12,11024.75434
kRkX_n12,0.5,28,15,13780.94293
kRkX_n12,1,28,12,11024.75434
kRkX_n18,0.0006,28,11119,123232.212
kRkX_n18,0.0008,28,7887,123385.0134
kRkX_n18,0.002,28,3025,119541.6083
kRkX_n18,0.004,28,1717,127790.313
kRkX_n18,0.006,28,826,124884.0954
kRkX_n18,0.008,28,734,110974.4867
kRkX_n18,0.01,28,588,106953.9698
kRkX_n18,0.03,28,246,112719.8018
kRkX_n18,0.05,28,133,122191.0273
kRkX_n18,0.09,28,119,109328.8139
kRkX_n24,5.00E-05,28,159030,799266.2036
kRkX_n24,7.00E-05,28,105769,778726.1003
kRkX_n24,9.00E-05,28,109570,794779.9117
kRkX_n24,0.0002,28,37705,800495.7776
kRkX_n24,0.0008,28,11696,870492.4293
kRkX_n24,0.001,28,9318,931957.1086
kRkX_n24,0.003,28,2408,733724.7291
kRkX_n24,0.005,28,1411,1296327.365
kRkX_n24,0.007,28,1334,1225585.191
kRkX_n24,0.009,28,895,822262.928
