prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
kRkX_n12,0.0006,28.0,1,149,18,200,0.09,7275.637940043295
kRkX_n12,0.0006,28.0,2,149,14,200,0.07,9455.199212082607
kRkX_n12,0.0006,28.0,3,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,4,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,5,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,6,149,9,200,0.045,14902.512253404646
kRkX_n12,0.0006,28.0,7,149,5,200,0.025,27102.281450985218
kRkX_n12,0.0006,28.0,8,149,14,200,0.07,9455.199212082607
kRkX_n12,0.0006,28.0,9,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,10,149,4,200,0.02,33964.27750637112
kRkX_n12,0.0006,28.0,11,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,12,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,13,149,4,200,0.02,33964.27750637112
kRkX_n12,0.0006,28.0,14,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,15,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,16,149,12,200,0.06,11089.549586431918
kRkX_n12,0.0006,28.0,17,149,15,200,0.075,8801.395467261302
kRkX_n12,0.0006,28.0,18,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,19,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,20,149,11,200,0.055,12129.50493781175
kRkX_n12,0.0006,28.0,21,149,12,200,0.06,11089.549586431918
kRkX_n12,0.0006,28.0,22,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,23,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,24,149,6,200,0.03,22527.51842137401
kRkX_n12,0.0006,28.0,25,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,26,149,10,200,0.05,13377.38910914574
kRkX_n12,0.0006,28.0,27,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,28,149,9,200,0.045,14902.512253404646
kRkX_n12,0.0006,28.0,29,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,30,149,6,200,0.03,22527.51842137401
kRkX_n12,0.0006,28.0,31,149,9,200,0.045,14902.512253404646
kRkX_n12,0.0006,28.0,32,149,28,200,0.14,4549.510746808657
kRkX_n12,0.0006,28.0,33,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,34,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,35,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,36,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,37,149,15,200,0.075,8801.395467261302
kRkX_n12,0.0006,28.0,38,149,6,200,0.03,22527.51842137401
kRkX_n12,0.0006,28.0,39,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,40,149,7,200,0.035,19259.745034676707
kRkX_n12,0.0006,28.0,41,149,9,200,0.045,14902.512253404646
kRkX_n12,0.0006,28.0,42,149,13,200,0.065,10209.539097840085
kRkX_n12,0.0006,28.0,43,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,44,149,5,200,0.025,27102.281450985218
kRkX_n12,0.0006,28.0,45,149,12,200,0.06,11089.549586431918
kRkX_n12,0.0006,28.0,46,149,6,200,0.03,22527.51842137401
kRkX_n12,0.0006,28.0,47,149,21,200,0.105,6185.528747069945
kRkX_n12,0.0006,28.0,48,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,49,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,50,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,51,149,12,200,0.06,11089.549586431918
kRkX_n12,0.0006,28.0,52,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,53,149,5,200,0.025,27102.281450985218
kRkX_n12,0.0006,28.0,54,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,55,149,5,200,0.025,27102.281450985218
kRkX_n12,0.0006,28.0,56,149,14,200,0.07,9455.199212082607
kRkX_n12,0.0006,28.0,57,149,16,200,0.08,8229.277012557908
kRkX_n12,0.0006,28.0,58,149,0,200,0.0,inf
kRkX_n12,0.0006,28.0,59,149,9,200,0.045,14902.512253404646
kRkX_n12,0.0006,28.0,60,149,5,200,0.025,27102.281450985218
kRkX_n12,0.0006,28.0,61,149,3,200,0.015,45400.74112772707
kRkX_n12,0.0006,28.0,62,149,16,200,0.08,8229.277012557908
kRkX_n12,0.0006,28.0,63,149,8,200,0.04,16808.839591895972
kRkX_n12,0.0006,28.0,64,149,0,200,0.0,inf
